height,width,total_pixels,worm_pixels,leaf_pixels,bg_pixels,pct_worm,pct_leaf,pct_bg,pct_worm_foreground,num_worm_blobs,mean_worm_blob_area,num_leaf_blobs,mean_leaf_blob_area,image_name,path,label
1038,1559,1618242,298201,667813,652228,18.427,41.268,40.305,30.869,348,856.899,175,3816.074,IMG_2663_mask.png,../data/heuristics/semantic_seg/IMG_2663_mask.png,0
1038,1559,1618242,298304,708476,611462,18.434,43.781,37.786,29.63,357,835.585,163,4346.479,IMG_2664_mask.png,../data/heuristics/semantic_seg/IMG_2664_mask.png,0
1038,1559,1618242,301300,714875,602067,18.619,44.176,37.205,29.65,346,870.809,152,4703.125,IMG_2665_mask.png,../data/heuristics/semantic_seg/IMG_2665_mask.png,0
1038,1559,1618242,301792,722260,594190,18.649,44.632,36.718,29.47,352,857.364,152,4751.711,IMG_2666_mask.png,../data/heuristics/semantic_seg/IMG_2666_mask.png,0
1038,1559,1618242,302982,661656,653604,18.723,40.887,40.39,31.409,345,878.209,174,3802.621,IMG_2667_mask.png,../data/heuristics/semantic_seg/IMG_2667_mask.png,0
1038,1559,1618242,305037,661723,651482,18.85,40.891,40.259,31.553,347,879.069,185,3576.881,IMG_2668_mask.png,../data/heuristics/semantic_seg/IMG_2668_mask.png,0
1038,1559,1618242,301785,696766,619691,18.649,43.057,38.294,30.222,356,847.711,148,4707.878,IMG_2669_mask.png,../data/heuristics/semantic_seg/IMG_2669_mask.png,0
1038,1559,1618242,301742,679035,637465,18.646,41.961,39.392,30.766,358,842.855,170,3994.324,IMG_2670_mask.png,../data/heuristics/semantic_seg/IMG_2670_mask.png,0
1038,1559,1618242,302582,704862,610798,18.698,43.557,37.745,30.035,352,859.608,182,3872.868,IMG_2671_mask.png,../data/heuristics/semantic_seg/IMG_2671_mask.png,0
1038,1559,1618242,305796,686391,626055,18.897,42.416,38.687,30.82,354,863.831,181,3792.215,IMG_2672_mask.png,../data/heuristics/semantic_seg/IMG_2672_mask.png,0
1038,1559,1618242,307404,719812,591026,18.996,44.481,36.523,29.926,365,842.203,182,3955.011,IMG_2673_mask.png,../data/heuristics/semantic_seg/IMG_2673_mask.png,0
